Date,Stock_Return,Risk_Free_Rate
2025/2/14,-0.027522936,1.7
2025/2/17,0.023584906,1.7
2025/2/18,0.013824885,1.7
2025/2/19,-0.009090909,1.7
2025/2/20,-0.009174312,1.7
2025/2/21,0.013888889,1.7
2025/2/24,-0.01826484,1.7
2025/2/25,-0.018604651,1.7
2025/2/26,0.004739336,1.7
2025/2/27,-0.018867925,1.7
2025/3/3,-0.019230769,1.7
2025/3/4,-0.019607843,1.7
2025/3/5,0.02,1.7
2025/3/6,-0.014705882,1.7
2025/3/7,0,1.7
2025/3/10,-0.006965174,1.7
2025/3/11,-0.027054108,1.7
2025/3/12,0.017507724,1.7
2025/3/13,-0.023279352,1.7
2025/3/14,-0.006217617,1.7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
